Name,IC1,IC2,IC3,IC4,IC5,IC6,IC7,IC8,IC9,IC10
Image1,4,13,24,3,1,37,6,219,1,2
Image2,1,15,92,36,1,60,26,74,1,4
Image3,1,2,1,2,1,213,1,1,1,87
Image4,16,1,6,19,102,49,1,86,1,29
Image5,31,2,34,21,1,51,13,98,3,56
Image6,17,20,2,29,1,112,18,88,3,20
Image7,4,12,4,17,127,29,4,54,1,58
Image8,12,1,65,1,25,2,1,201,1,1
Image9,18,9,87,1,30,14,16,133,1,1
Image10,1,6,33,1,20,99,1,147,1,1
Image11,1,2,78,1,65,100,1,60,1,1
Image12,1,2,39,1,56,79,1,129,1,1
Image13,3,2,8,1,146,3,8,19,1,119
Image14,5,11,110,16,6,1,7,152,1,1
Image15,3,25,105,48,13,16,4,58,1,37
Image16,37,11,70,31,23,30,18,60,1,29
Image17,14,1,32,1,85,1,59,115,1,1
Image18,24,25,5,11,128,40,17,50,1,9
Image19,39,10,4,54,83,8,5,47,7,53
Image20,17,1,1,16,141,15,1,73,1,44
Image21,1,21,100,15,2,37,13,100,1,20
Image22,1,6,3,5,34,85,1,84,1,90
Image23,7,10,9,4,149,24,69,36,1,1
Image24,4,9,70,2,158,10,1,26,1,29
Image25,6,1,47,1,40,116,1,96,1,1
Image26,7,13,13,45,1,1,192,1,1,36
Image27,1,6,62,1,1,24,1,212,1,1
Image28,2,2,110,1,92,22,3,76,1,1
Image29,1,33,109,3,4,50,26,82,1,1
Image30,7,1,55,1,109,40,40,55,1,1
Image31,2,9,4,4,247,2,1,38,1,2
Image32,3,33,164,10,19,40,1,37,1,2
Image33,2,1,53,1,1,96,15,139,1,1
Image34,1,14,39,1,103,40,1,109,1,1
Image35,4,29,14,26,102,12,1,29,1,92
Image36,5,17,41,1,116,27,4,96,1,2
Image37,8,9,35,20,91,9,26,110,1,1
Image38,8,11,16,2,1,68,70,132,1,1
Image39,4,6,74,13,1,77,18,115,1,1
Image40,9,13,18,3,1,140,11,113,1,1
Image41,2,16,140,3,75,1,8,41,1,23
Image42,1,53,32,69,1,1,1,54,1,97
Image43,1,21,34,2,1,116,3,122,1,9
Image44,2,19,7,65,1,2,17,9,1,187
Image45,2,46,59,62,1,66,35,34,1,4
Image46,1,2,1,1,1,172,1,129,1,1
Image47,7,4,9,4,1,131,81,71,1,1
Image48,1,1,7,1,39,169,1,89,1,1
Image49,1,42,87,18,1,1,10,44,1,105
Image50,1,73,32,3,1,4,10,161,1,24
Image51,1,4,39,1,1,210,1,50,1,2
Image52,1,42,13,1,1,175,2,26,1,48
Image53,1,1,1,1,97,64,1,142,1,1
Image54,1,25,1,7,1,129,47,65,1,33
Image55,6,3,25,4,41,109,2,117,1,2
Image56,4,4,13,1,1,119,16,150,1,1
Image57,1,1,1,1,1,165,1,137,1,1
Image58,4,1,67,93,1,1,126,1,1,15
Image59,7,23,39,3,1,59,33,124,1,20
Image60,2,16,3,8,1,63,21,190,1,5
Image61,1,22,3,1,33,118,1,63,1,67
Image62,1,1,10,1,1,140,31,103,1,21
Image63,11,13,1,91,1,55,13,88,1,36
Image64,1,45,80,17,36,33,3,49,1,45
Image65,1,46,116,13,6,13,2,18,1,94
Image66,1,111,62,90,1,1,38,3,1,2
Image67,1,47,46,1,11,13,49,134,1,7
Image68,1,3,1,1,1,139,1,94,1,68
Image69,1,86,1,1,1,53,22,70,1,74
Image70,1,1,101,1,52,1,1,150,1,1
Image71,12,5,1,271,1,1,16,1,1,1
Image72,1,10,86,42,61,2,43,56,1,8
Image73,3,8,19,3,205,1,1,68,1,1
Image74,4,14,2,9,1,1,31,246,1,1
Image75,1,7,163,4,9,1,11,112,1,1
Image76,1,13,1,3,1,202,2,75,1,11
Image77,13,1,3,3,1,1,1,1,283,3
Image78,17,5,28,1,28,88,10,129,1,3
Image79,6,11,41,220,1,1,5,1,23,1
Image80,2,2,33,22,187,1,9,42,1,11
Image81,1,20,150,1,10,5,1,120,1,1
Image82,1,32,1,1,96,106,1,70,1,1
Image83,53,21,84,24,1,35,32,57,1,2
Image84,3,28,51,65,33,10,21,82,9,8
Image85,38,1,14,1,90,20,4,46,4,92
Image86,43,26,16,2,10,17,3,151,1,41
Image87,47,9,51,15,111,1,3,61,1,11
Image88,1,1,48,1,93,9,1,154,1,1
Image89,1,1,56,1,1,24,1,223,1,1
Image90,1,20,10,86,1,2,2,186,1,1
Image91,1,14,2,1,1,112,13,164,1,1
Image92,1,1,72,1,1,130,1,101,1,1
Image93,1,1,3,1,40,95,1,166,1,1
Image94,1,35,88,42,10,15,1,114,1,3
Image95,29,13,41,4,48,65,3,90,12,5
Image96,8,1,71,1,4,65,25,133,1,1
Image97,5,1,4,1,66,1,171,59,1,1
Image98,1,17,80,3,78,14,1,61,1,54
Image99,1,25,1,1,1,155,1,58,1,66
Image100,20,11,22,4,1,161,1,71,18,1
Image101,1,26,148,21,5,1,3,100,1,4
Image102,1,51,36,23,1,1,1,193,1,2
Image103,1,82,90,70,1,3,32,19,1,11
Image104,5,12,1,116,1,55,2,2,1,115
Image105,21,1,3,59,2,1,3,1,215,4
Image106,74,3,42,10,11,108,24,32,2,4
Image107,22,1,1,1,1,1,74,1,207,1
Image108,1,17,204,2,11,5,1,63,1,5
Image109,1,13,140,1,1,16,1,133,1,3
Image110,52,1,14,23,15,44,4,105,1,51
Image111,4,1,25,1,184,1,41,51,1,1
Image112,65,6,9,29,109,6,12,44,21,9
Image113,47,15,17,28,3,32,5,111,4,48
